wavelength_nm,c_ext,c_sca,c_abs
400,0.947011,350.084,0
405,0.975137,331.837,0
410,1.00386,314.711,0
415,1.03319,298.623,0
420,1.06313,283.501,0
425,1.09371,269.278,0
430,1.12492,255.889,0
435,1.1568,243.279,0
440,1.18934,231.394,0
445,1.22257,220.185,0
450,1.25649,209.607,0
455,1.29112,199.62,0
460,1.32649,190.184,0
465,1.36259,181.263,0
470,1.39945,172.826,0
475,1.43708,164.841,0
480,1.47551,157.279,0
485,1.51474,150.116,0
490,1.5548,143.326,0
495,1.5957,136.887,0
500,1.63747,130.778,0
505,1.68011,124.978,0
510,1.72366,119.47,0
515,1.76813,114.236,0
520,1.81355,109.261,0
525,1.85993,104.53,0
530,1.9073,100.029,0
535,1.95568,95.7443,0
540,2.00509,91.6646,0
545,2.05557,87.7782,0
550,2.10713,84.0745,0
555,2.1598,80.5436,0
560,2.21361,77.1761,0
565,2.26858,73.9633,0
570,2.32475,70.8968,0
575,2.38215,67.969,0
580,2.4408,65.1727,0
585,2.50073,62.5009,0
590,2.56198,59.9473,0
595,2.62459,57.5059,0
600,2.68858,55.1708,0
605,2.754,52.9369,0
610,2.82087,50.7991,0
615,2.88925,48.7525,0
620,2.95916,46.7926,0
625,3.03065,44.9154,0
630,3.10376,43.1167,0
635,3.17853,41.3928,0
640,3.25502,39.74,0
645,3.33326,38.1551,0
650,3.4133,36.6349,0
655,3.4952,35.1763,0
660,3.579,33.7764,0
665,3.66476,32.4326,0
670,3.75254,31.1422,0
675,3.84239,29.903,0
680,3.93436,28.7125,0
685,4.02854,27.5685,0
690,4.12496,26.4691,0
695,4.22371,25.4122,0
700,4.32485,24.396,0
