wavelength_nm,c_ext,c_sca,c_abs
400.000000,159.883700613,2.21652648958,157.667174123
405.000000,179.009349258,5.40893605924,173.600413199
410.000000,201.408794685,10.5521600751,190.85663461
415.000000,227.855257955,18.0540385108,209.801219444
420.000000,259.361835924,28.467067562,230.894768362
425.000000,297.275998043,42.546546367,254.729451676
430.000000,343.420281913,61.3380554382,282.082226475
435.000000,400.306778046,86.3121302757,313.99464777
440.000000,471.472905477,119.577099114,351.895806363
445.000000,562.023131352,164.225661985,397.797469367
450.000000,679.533512615,224.918940006,454.614572609
455.000000,835.623063468,308.910471305,526.712592164
460.000000,1048.81213333,427.926336106,620.885797225
465.000000,1350.01075478,601.809759318,748.20099546
470.000000,1793.75479837,866.056906429,927.697891939
475.000000,2483.04333898,1288.65091626,1194.39242272
480.000000,3629.51660541,2011.32443801,1618.1921674
485.000000,5715.65083738,3362.30043854,2353.35039884
490.000000,9979.83851975,6199.74020723,3780.09831252
495.000000,19823.5650546,12944.8164436,6878.74861093
500.000000,40125.1780075,27427.6493027,12697.5287048
505.000000,43657.5818737,31121.584616,12535.9972577
510.000000,22881.4186704,16952.9071517,5928.5115187
515.000000,11539.6676143,8858.87607492,2680.79153941
520.000000,6616.35819074,5248.22865206,1368.12953868
525.000000,4227.34559659,3455.88744191,771.458154676
530.000000,2921.14210741,2455.41931107,465.722796335
535.000000,2137.08040697,1843.06703818,294.013368781
540.000000,1631.78448638,1441.02239103,190.76209535
545.000000,1287.77787684,1162.36755965,125.410317191
550.000000,1043.21787253,960.813167347,82.4047051866
555.000000,863.186134441,809.935900531,53.2502339101
560.000000,726.807960885,693.773836195,33.03412469
565.000000,621.001287793,602.222499621,18.7787881716
570.000000,537.237233391,528.629519947,8.60771344421
575.000000,469.765863859,468.467056176,1.29880768343
580.000000,414.597657385,418.564033,-3.96637561514
585.000000,368.894684059,376.643936001,-7.74925194137
590.000000,330.593712451,341.036694944,-10.4429824929
595.000000,298.165629894,310.49352756,-12.3278976665
600.000000,270.457668715,284.06470907,-13.6070403549
605.000000,246.587424623,261.016933201,-14.4295085785
610.000000,225.870122664,240.776236273,-14.9061136092
615.000000,207.767729382,222.887813827,-15.1200844456
620.000000,191.852724146,206.987235869,-15.1345117228
625.000000,177.781895848,192.779500497,-14.9976046492
630.000000,165.27711553,180.023571302,-14.7464557724
635.000000,154.111040364,168.52081202,-14.4097716563
640.000000,144.096354537,158.106231188,-14.0098766512
645.000000,135.077580948,148.641779919,-13.5641989711
650.000000,126.924784668,140.011168293,-13.0863836244
655.000000,119.52868444,132.115817827,-12.5871333862
660.000000,112.796823339,124.871672864,-12.0748495248
665.000000,106.650544051,118.206667726,-11.5561236756
670.000000,101.022581067,112.058699157,-11.0361180905
675.000000,95.8551299455,106.373991436,-10.5188614904
680.000000,91.0982885141,101.105769133,-10.007480619
685.000000,86.708790234,96.2131726971,-9.50438246307
690.000000,82.6489687229,91.6603670889,-9.01139836598
695.000000,78.8859063954,87.4158049238,-8.5298985284
700.000000,75.3907306908,83.4516140507,-8.06088335985
